Posting Date	Document No.	Account Type	AcCNT#  CHANGED TO:	Account Type	Account No.	Amount
4/5/2024	SJ-00001418	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	25,868.00
4/6/2024	SJ-00001420	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	20,045.00
4/7/2024	SJ-00001422	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	46,710.00
4/8/2024	SJ-00001425	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	26,717.50
4/9/2024	SJ-00001427	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	53,280.00
4/10/2024	SJ-00001429	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	70,585.00
4/11/2024	SJ-00001432	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	35,326.50
4/12/2024	SJ-00001434	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	25,235.00
4/13/2024	SJ-00001437	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	26,096.00
4/14/2024	SJ-00001439	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	44,826.00
4/15/2024	SJ-00001441	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	11,913.00
4/16/2024	SJ-00001443	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	43,580.00
4/17/2024	SJ-00001445	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	14,136.50
4/18/2024	SJ-00001447	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	26,715.00
4/19/2024	SJ-00001449	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	16,985.00
4/20/2024	SJ-00001451	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	25,435.50
4/21/2024	SJ-00001454	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	41,080.00
4/22/2024	SJ-00001456	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	12,089.00
4/23/2024	SJ-00001458	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	9,564.00
4/24/2024	SJ-00001460	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	22,395.50
4/25/2024	SJ-00001462	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	17,785.00
4/26/2024	SJ-00001464	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	17,696.00
4/27/2024	SJ-00001466	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	8,622.25
4/28/2024	SJ-00001469	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	15,180.00
4/29/2024	SJ-00001472	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	13,635.00
4/30/2024	SJ-00001474	Bank Account	B-001	  ---->>       Customer	         PFCNTI0001	18,248.00
